NRO. RESOLUCIÓN,FECHA DE EMISIÓN,ASUNTO,NOMBRE DE LA ORGANIZACIÓN,TIPO DE SERVICIO,TIPO DE SERVICIO ESPECIFÍCO,APROBADO POR,PEDIDO_UNIFICADO
SGDPN-DRCPN-2025-0172-R,2025-03-24,REGISTRO DE LA DIRECTIVA,COMUNA CHUICHUN,Registro y actualización de Directiva,Registro y actualización de Directiva,Luis Fernando Sarango Macas,REGISTRO DE LA DIRECTIVA | Registro y actualización de Directiva
SGDPN-DRCPN-2025-0173-R,2025-03-24,REGISTRO DE DIRECTIVA,COMUNA CHUICHÚN,Registro y actualización de Directiva,Registro y actualización de Directiva,Luis Fernando Sarango Macas,REGISTRO DE DIRECTIVA | Registro y actualización de Directiva
SGDPN-DRCPN-2025-0174-R,2025-03-24,REGISTRO DE DIRECTIVA,CENTRO SHUAR KIIM,Registro y actualización de Directiva,Registro y actualización de Directiva,Luis Fernando Sarango Macas,REGISTRO DE DIRECTIVA | Registro y actualización de Directiva
SGDPN-DRCPN-2025-0175-R,2025-03-24,REFORMA DE ESTATUTO ,FEDERACION DE ORGANIZACIONES MONTUBIAS DEL ECUADOR,Reforma y mejoramiento del Estatuto,Reforma y codificación del Estatuto,Luis Fernando Sarango Macas,REFORMA DE ESTATUTO  | Reforma y mejoramiento del Estatuto
SGDPN-DRCPN-2025-0176-R,2025-03-24,REGISTRO DE DIRECTIVA,PUEBLO KITU KARA,Registro y actualización de Directiva,Registro y actualización de Directiva,Luis Fernando Sarango Macas,REGISTRO DE DIRECTIVA | Registro y actualización de Directiva
SGDPN-DRCPN-2025-0177-R,2025-03-24,PERSONERIA JURIDICA,ORGANIZACIÓN PUEBLO MONTUBIO DE MANABÍ,Personería jurídica a organizaciones sin fines de lucro,"Personería jurídica de corporaciones de primer, segundo y tercer grado",Luis Fernando Sarango Macas,PERSONERIA JURIDICA | Personería jurídica a organizaciones sin fines de lucro
SGDPN-DRCPN-2025-0178-R,2025-03-24,PERSONERIA JURIDICA,FUNDACIÓN PARA LA SOSTENIBILIDAD INTEGRAL COMUNITARIA FUNSOSCOM,Personería jurídica a organizaciones sin fines de lucro,Personería jurídica de fundaciones,Luis Fernando Sarango Macas,PERSONERIA JURIDICA | Personería jurídica a organizaciones sin fines de lucro
SGDPN-DRCPN-2025-0179-R,2025-03-27,REGISTRO DE DIRECTIVA,CENTRO COFAN ZABALO,Registro y actualización de Directiva,Registro y actualización de Directiva,Luis Fernando Sarango Macas,REGISTRO DE DIRECTIVA | Registro y actualización de Directiva
SGDPN-DRCPN-2025-0180-R,2025-03-27,REGISTRO DE DIRECTIVA,"ORGANIZACIÓN COMUNITARIA DE AGUA, DEFENSA AMBIENTAL Y DESARROLLO PRODUCTIVO YACU PALLANA",Registro y actualización de Directiva,Registro y actualización de Directiva,Luis Fernando Sarango Macas,REGISTRO DE DIRECTIVA | Registro y actualización de Directiva
SGDPN-DRCPN-2025-0181-R,2025-03-27,REGISTRO DE DIRECTIVA,FEDERACIÓN DE ORGANIZACIONES CAMPESINAS E INDÍGENAS DE SIGCHOS FOIC-CS,Registro y actualización de Directiva,Registro y actualización de Directiva,Luis Fernando Sarango Macas,REGISTRO DE DIRECTIVA | Registro y actualización de Directiva
SGDPN-DRCPN-2025-0182-R,2025-03-28,REGISTRO DE DIRECTIVA,FUNDACIÓN PAKARINKA SISARI,Registro y actualización de Directiva,Registro y actualización de Directiva,Luis Fernando Sarango Macas,REGISTRO DE DIRECTIVA | Registro y actualización de Directiva
SGDPN-DRCPN-2025-0183-R,2025-03-31,REGISTRO DE DIRECTIVA,CONFEDERACIÓN DEL MOVIMIENTO INDÍGENA DE CHIMBORAZO DE LOS PUEBLOS DE LA GRAN NACIÓN PURUWAY- COMICH,Registro y actualización de Directiva,Registro y actualización de Directiva,Luis Fernando Sarango Macas,REGISTRO DE DIRECTIVA | Registro y actualización de Directiva
SGDPN-DRCPN-2025-0184-R,2025-04-01,REGISTRO DE DIRECTIVA,FUNDACIÓN YAMARAM TSAWANT,Registro y actualización de Directiva,Registro y actualización de Directiva,Luis Fernando Sarango Macas,REGISTRO DE DIRECTIVA | Registro y actualización de Directiva
SGDPN-DRCPN-2025-0185-R,2025-04-01,REGISTRO DE DIRECTIVA,"COMUNIDAD "" RUMI PUNGO""",Registro y actualización de Directiva,Registro y actualización de Directiva,Luis Fernando Sarango Macas,REGISTRO DE DIRECTIVA | Registro y actualización de Directiva
SGDPN-DRCPN-2025-0186-R,2025-04-01,REGISTRO DE DIRECTIVA,COMUNIDAD KIJUS,Registro y actualización de Directiva,Registro y actualización de Directiva,Luis Fernando Sarango Macas,REGISTRO DE DIRECTIVA | Registro y actualización de Directiva
SGDPN-DRCPN-2025-0187-R,2025-04-01,REGISTRO DE DIRECTIVA,SINCHI RUNA COSIR,Registro y actualización de Directiva,Registro y actualización de Directiva,Luis Fernando Sarango Macas,REGISTRO DE DIRECTIVA | Registro y actualización de Directiva
SGDPN-DRCPN-2025-0188-R,2025-04-01,PERSONERIA JURIDICA,ORGANIZACIÓN DEL PUEBLO MONTUBIO DEL GUAYAS,Personería jurídica a organizaciones sin fines de lucro,"Personería jurídica de corporaciones de primer, segundo y tercer grado",Luis Fernando Sarango Macas,PERSONERIA JURIDICA | Personería jurídica a organizaciones sin fines de lucro
SGDPN-DRCPN-2025-0189-R,2025-04-02,REGISTRO DE DIRECTIVA,COMUNIDAD DE WARAWIN,Registro y actualización de Directiva,Registro y actualización de Directiva,Luis Fernando Sarango Macas,REGISTRO DE DIRECTIVA | Registro y actualización de Directiva
SGDPN-DRCPN-2025-0190-R,2025-04-02,PERSONERIA JURIDICA,COMUNIDAD ILUMAN ALTO,Personería jurídica de las comunas y comunidades,Personería jurídica de las comunas y comunidades,Luis Fernando Sarango Macas,PERSONERIA JURIDICA | Personería jurídica de las comunas y comunidades
SGDPN-DRCPN-2025-0191-R,2025-04-02,INCLUSION DE SOCIOS,CENTRO SHUAR ETSA,Registro de inclusión y/o exclusión de miembros ,Registro de inclusión y/o exclusión de miembros o socios,Luis Fernando Sarango Macas,INCLUSION DE SOCIOS | Registro de inclusión y/o exclusión de miembros 
SGDPN-DRCPN-2025-0192-R,2025-04-02,REGISTRO DE DIRECTIVA,CENTRO SHUAR ETSA,Registro y actualización de Directiva,Registro y actualización de Directiva,Luis Fernando Sarango Macas,REGISTRO DE DIRECTIVA | Registro y actualización de Directiva
SGDPN-DRCPN-2025-0193-R,2025-04-03,REGISTRO DE DIRECTIVA,FUNDACIÓN DE DESARROLLO INTEGRAL PALLOS FUDP,Registro y actualización de Directiva,Registro y actualización de Directiva,Luis Fernando Sarango Macas,REGISTRO DE DIRECTIVA | Registro y actualización de Directiva
SGDPN-DRCPN-2025-0194-R,2025-04-03,PERSONERIA JURIDICA,ORGANIZACIÓN DE PUEBLO MONTUBIO TRABAJANDO CON AMOR DE LA ZONA NORTE DE MANABI PUMOTRA,Personería jurídica a organizaciones sin fines de lucro,"Personería jurídica de corporaciones de primer, segundo y tercer grado",Luis Fernando Sarango Macas,PERSONERIA JURIDICA | Personería jurídica a organizaciones sin fines de lucro
SGDPN-DRCPN-2025-0195-R,2025-04-03,PERSONERIA JURIDICA,CENTRO SHUAR YAMARAM,Personería jurídica de las comunas y comunidades,Personería jurídica de las comunas y comunidades,Luis Fernando Sarango Macas,PERSONERIA JURIDICA | Personería jurídica de las comunas y comunidades
SGDPN-DRCPN-2025-0196-R,2025-04-03,INCLUSIÓN DE SOCIOS,ASOCIACIÓN KICHWA ALTO ATAHUALPA,Registro de inclusión y/o exclusión de miembros ,Registro de inclusión y/o exclusión de miembros o socios,Luis Fernando Sarango Macas,INCLUSIÓN DE SOCIOS | Registro de inclusión y/o exclusión de miembros 
SGDPN-DRCPN-2025-0197-R,2025-04-03,REGISTRO DE DIRECTIVA,ASOCIACIÓN POBLACIONAL DE RAÍCES ANCESTRALES WANKAVILKA SEMBRANDO EL FUTURO,Registro y actualización de Directiva,Registro y actualización de Directiva,Luis Fernando Sarango Macas,REGISTRO DE DIRECTIVA | Registro y actualización de Directiva
SGDPN-DRCPN-2025-0198-R,2025-04-03,REGISTRO DE DIRECTIVA,ASOCIACIÓN KICHWA ALTO ATAHUALPA,Registro y actualización de Directiva,Registro y actualización de Directiva,Luis Fernando Sarango Macas,REGISTRO DE DIRECTIVA | Registro y actualización de Directiva
SGDPN-DRCPN-2025-0199-R,2025-04-03,REGISTRO DE DIRECTIVA,FUNDACIÓN JALLINGA,Registro y actualización de Directiva,Registro y actualización de Directiva,Luis Fernando Sarango Macas,REGISTRO DE DIRECTIVA | Registro y actualización de Directiva
SGDPN-DRCPN-2025-0200-R,2025-04-03,REGISTRO DE DIRECTIVA,FUNDACIÓN CACICAZGO CANDO PILAMUNGA,Registro y actualización de Directiva,Registro y actualización de Directiva,Luis Fernando Sarango Macas,REGISTRO DE DIRECTIVA | Registro y actualización de Directiva
SGDPN-DRCPN-2025-0201-R,2025-04-03,PERSONERIA JURIDICA,ASOCIACIÓN MONTUBIA QUEBRADA SAN MARCOS,Personería jurídica a organizaciones sin fines de lucro,"Personería jurídica de corporaciones de primer, segundo y tercer grado",Luis Fernando Sarango Macas,PERSONERIA JURIDICA | Personería jurídica a organizaciones sin fines de lucro
SGDPN-DRCPN-2025-0202-R,2025-04-03,PERSONERIA JURIDICA,ASOCIACIÓN MONTUBIA SAN PEDRO DE RESBALÓN,Personería jurídica a organizaciones sin fines de lucro,"Personería jurídica de corporaciones de primer, segundo y tercer grado",Luis Fernando Sarango Macas,PERSONERIA JURIDICA | Personería jurídica a organizaciones sin fines de lucro
SGDPN-DRCPN-2025-0203-R,2025-04-04,REGISTRO DE DIRECTIVA,COMUNIDAD ANCESTRAL QUICHUA VICENTE HUATATOCA,Registro y actualización de Directiva,Registro y actualización de Directiva,Luis Fernando Sarango Macas,REGISTRO DE DIRECTIVA | Registro y actualización de Directiva
SGDPN-DRCPN-2025-0204-R,2025-04-04,PERSONERIA JURIDICA,ASOCIACIÓN MONTUBIA MUJERES EMPRENDEDORAS TACABACALES,Personería jurídica a organizaciones sin fines de lucro,"Personería jurídica de corporaciones de primer, segundo y tercer grado",Luis Fernando Sarango Macas,PERSONERIA JURIDICA | Personería jurídica a organizaciones sin fines de lucro
SGDPN-DRCPN-2025-0205-R,2025-04-04,PERSONERIA JURIDICA,ORGANIZACIÓN MONTUBIA EL PEDERNAL,Personería jurídica a organizaciones sin fines de lucro,"Personería jurídica de corporaciones de primer, segundo y tercer grado",Luis Fernando Sarango Macas,PERSONERIA JURIDICA | Personería jurídica a organizaciones sin fines de lucro
SGDPN-DRCPN-2025-0206-R,2025-04-04,REGISTRO DE DIRECTIVA,CENTRO SHUAR NUMPAIM SAN CARLOS,Registro y actualización de Directiva,Registro y actualización de Directiva,Luis Fernando Sarango Macas,REGISTRO DE DIRECTIVA | Registro y actualización de Directiva
SGDPN-DRCPN-2025-0207-R,2025-04-04,REGISTRO DE DIRECTIVA,COLECTIVO AFRO ZAMORA CHINCHIPE,Registro y actualización de Directiva,Registro y actualización de Directiva,Luis Fernando Sarango Macas,REGISTRO DE DIRECTIVA | Registro y actualización de Directiva
SGDPN-DRCPN-2025-0208-R,2025-04-04,PERSONERIA JURIDICA,FUNDACIÓN PUEBLO MONTUBIO MANOS Y TIERRA PARA LA SOSTENIBILIDAD,Personería jurídica a organizaciones sin fines de lucro,Personería jurídica de fundaciones,Luis Fernando Sarango Macas,PERSONERIA JURIDICA | Personería jurídica a organizaciones sin fines de lucro
SGDPN-DRCPN-2025-0209-R,2025-04-04,PERSONERIA JURIDICA,ASOCIACIÓN MONTUBIA VALLE HERMOSO,Personería jurídica a organizaciones sin fines de lucro,"Personería jurídica de corporaciones de primer, segundo y tercer grado",Luis Fernando Sarango Macas,PERSONERIA JURIDICA | Personería jurídica a organizaciones sin fines de lucro
SGDPN-DRCPN-2025-0210-R,2025-04-04,REGISTRO DE DIRECTIVA,FUNDACIÓN CACICAZGO CANDO PILAMUNGA,Registro y actualización de Directiva,Registro y actualización de Directiva,Luis Fernando Sarango Macas,REGISTRO DE DIRECTIVA | Registro y actualización de Directiva
SGDPN-DRCPN-2025-0211-R,2025-04-04,REGISTRO DE DIRECTIVA,MOVIMIENTO INDÍGENA Y CAMPESINO DE COTOPAXI MICC,Registro y actualización de Directiva,Registro y actualización de Directiva,Luis Fernando Sarango Macas,REGISTRO DE DIRECTIVA | Registro y actualización de Directiva
SGDPN-DRCPN-2025-0212-R,2025-04-08,REGISTRO DE DIRECTIVA,FUNDACION INDIGENA PARA EL DESARROLLO SOCIAL MUSHUJ CAUSAI,Registro y actualización de Directiva,Registro y actualización de Directiva,Luis Fernando Sarango Macas,REGISTRO DE DIRECTIVA | Registro y actualización de Directiva
SGDPN-DRCPN-2025-0213-R,2025-04-08,REGISTRO DE DIRECTIVA,CENTRO SHUAR ACHUAR JEMPEKAT,Registro y actualización de Directiva,Registro y actualización de Directiva,Luis Fernando Sarango Macas,REGISTRO DE DIRECTIVA | Registro y actualización de Directiva
SGDPN-DRCPN-2025-0214-R,2025-04-08,PERSONERIA JURIDICA,COMUNIDAD SAN JOSE DE CHONTA PUNTA,Personería jurídica de las comunas y comunidades,Personería jurídica de las comunas y comunidades,Luis Fernando Sarango Macas,PERSONERIA JURIDICA | Personería jurídica de las comunas y comunidades
SGDPN-DRCPN-2025-0215-R,2025-04-08,REGISTRO DE DIRECTIVA,COMUNA JATUN ERA,Registro y actualización de Directiva,Registro y actualización de Directiva,Luis Fernando Sarango Macas,REGISTRO DE DIRECTIVA | Registro y actualización de Directiva
SGDPN-DRCPN-2025-0216-R,2025-04-08,REGISTRO DE DIRECTIVA,COMUNA JATUN ERA,Registro y actualización de Directiva,Registro y actualización de Directiva,Luis Fernando Sarango Macas,REGISTRO DE DIRECTIVA | Registro y actualización de Directiva
SGDPN-DRCPN-2025-0217-R,2025-04-08,REFORMA DE ESTATUTO,COMUNIDAD KICHWA KALLARY DE LLUSHIN,Reforma y mejoramiento del Estatuto,Reforma y codificación del Estatuto,Luis Fernando Sarango Macas,REFORMA DE ESTATUTO | Reforma y mejoramiento del Estatuto
SGDPN-DRCPN-2025-0218-R,2025-04-08,REGISTRO DE DIRECTIVA,COMUNIDAD INTERCULTURAL CUSHIRUMI,Registro y actualización de Directiva,Registro y actualización de Directiva,Luis Fernando Sarango Macas,REGISTRO DE DIRECTIVA | Registro y actualización de Directiva
SGDPN-DRCPN-2025-0219-R,2025-04-08,REGISTRO DE DIRECTIVA,CENTRO SHUAR KAANK GRANDE,Registro y actualización de Directiva,Registro y actualización de Directiva,Luis Fernando Sarango Macas,REGISTRO DE DIRECTIVA | Registro y actualización de Directiva
SGDPN-DRCPN-2025-0220-R,2025-04-08,REGISTRO DE DIRECTIVA,CENTRO ACHUAR KASUAENTSA,Registro y actualización de Directiva,Registro y actualización de Directiva,Luis Fernando Sarango Macas,REGISTRO DE DIRECTIVA | Registro y actualización de Directiva
SGDPN-DRCPN-2025-0221-R,2025-04-08,REGISTRO DE DIRECTIVA,CENTRO SHUAR TAANT,Registro y actualización de Directiva,Registro y actualización de Directiva,Luis Fernando Sarango Macas,REGISTRO DE DIRECTIVA | Registro y actualización de Directiva
SGDPN-DRCPN-2025-0222-R,2025-04-08,REGISTRO DE DIRECTIVA,CENTRO CHACHI LAS PAVAS,Registro y actualización de Directiva,Registro y actualización de Directiva,Luis Fernando Sarango Macas,REGISTRO DE DIRECTIVA | Registro y actualización de Directiva
SGDPN-DRCPN-2025-0223-R,2025-04-09,PERSONERIA JURIDICA,COMUNIDAD CALLANAYAKU,Personería jurídica de las comunas y comunidades,Personería jurídica de las comunas y comunidades,Luis Fernando Sarango Macas,PERSONERIA JURIDICA | Personería jurídica de las comunas y comunidades
SGDPN-DRCPN-2025-0224-R,2025-04-09,REGISTRO DE DIRECTIVA,FUNDACIÓN SHUAR SOCIEDAD Y DESARROLLO,Registro y actualización de Directiva,Registro y actualización de Directiva,Luis Fernando Sarango Macas,REGISTRO DE DIRECTIVA | Registro y actualización de Directiva
SGDPN-DRCPN-2025-0225-R,2025-04-09,REGISTRO DE DIRECTIVA,COMUNIDAD ACHUAR NAPURAK,Registro y actualización de Directiva,Registro y actualización de Directiva,Luis Fernando Sarango Macas,REGISTRO DE DIRECTIVA | Registro y actualización de Directiva
SGDPN-DRCPN-2025-0226-R,2025-04-09,REGISTRO DE DIRECTIVA,CENTRO SHUAR TSENTSAK ENTSA,Registro y actualización de Directiva,Registro y actualización de Directiva,Luis Fernando Sarango Macas,REGISTRO DE DIRECTIVA | Registro y actualización de Directiva
SGDPN-DRCPN-2025-0227-R,2025-04-09,REGISTRO DE DIRECTIVA,COMUNIDAD SHUAR SHAKAP,Registro y actualización de Directiva,Registro y actualización de Directiva,Luis Fernando Sarango Macas,REGISTRO DE DIRECTIVA | Registro y actualización de Directiva
SGDPN-DRCPN-2025-0228-R,2025-04-09,REGISTRO DE DIRECTIVA,COMUNA KICHWA SANTA ELENA,Registro y actualización de Directiva,Registro y actualización de Directiva,Luis Fernando Sarango Macas,REGISTRO DE DIRECTIVA | Registro y actualización de Directiva
SGDPN-DRCPN-2025-0229-R,2025-04-09,REGISTRO DE DIRECTIVA ,COMUNIDAD CACHILOMA,Registro y actualización de Directiva,Registro y actualización de Directiva,Luis Fernando Sarango Macas,REGISTRO DE DIRECTIVA  | Registro y actualización de Directiva
SGDPN-DRCPN-2025-0230-R,2025-04-09,PERSONERIA JURIDICA,RECINTO CLARISA,Personería jurídica de las comunas y comunidades,Personería jurídica de las comunas y comunidades,Luis Fernando Sarango Macas,PERSONERIA JURIDICA | Personería jurídica de las comunas y comunidades
SGDPN-DRCPN-2025-0231-R,2025-04-09,REGISTRO DE DIRECTIVA,CENTRO SHUAR NAYUMPIM,Registro y actualización de Directiva,Registro y actualización de Directiva,Luis Fernando Sarango Macas,REGISTRO DE DIRECTIVA | Registro y actualización de Directiva
SGDPN-DRCPN-2025-0232-R,2025-04-10,INCLUSIÓN DE SOCIOS,CENTRO SHAUR SETUCH,Registro de inclusión y/o exclusión de miembros ,Registro de inclusión y/o exclusión de miembros o socios,Luis Fernando Sarango Macas,INCLUSIÓN DE SOCIOS | Registro de inclusión y/o exclusión de miembros 
SGDPN-DRCPN-2025-0233-R,2025-04-11,PERSONERIA JURIDICA,FUNDACIÓN CENTRO INTERCULTURAL DE DERECHOS Y JUSTICIA KAPAK,Personería jurídica a organizaciones sin fines de lucro,Personería jurídica de fundaciones,Luis Fernando Sarango Macas,PERSONERIA JURIDICA | Personería jurídica a organizaciones sin fines de lucro
SGDPN-DRCPN-2025-0234-R,2025-04-11,REGISTRO DE DIRECTIVA,CENTRO SHUAR SHIRAM,Registro y actualización de Directiva,Registro y actualización de Directiva,Luis Fernando Sarango Macas,REGISTRO DE DIRECTIVA | Registro y actualización de Directiva
SGDPN-DRCPN-2025-0235-R,2025-04-14,REGISTRO DE DIRECTIVA,FUNDACIÓN DE DESARROLLO ARTE Y CULTURA WARI,Registro y actualización de Directiva,Registro y actualización de Directiva,Luis Fernando Sarango Macas,REGISTRO DE DIRECTIVA | Registro y actualización de Directiva
SGDPN-DRCPN-2025-0236-R,2025-04-14,INCLUSIÓN DE SOCIOS,FUNDACIÓN DE DESARROLLO ARTE Y CULTURA WARI,Registro de inclusión y/o exclusión de miembros ,Registro de inclusión y/o exclusión de miembros o socios,Luis Fernando Sarango Macas,INCLUSIÓN DE SOCIOS | Registro de inclusión y/o exclusión de miembros 
SGDPN-DRCPN-2025-0237-R,2025-04-14,PERSONERIA JURIDICA,COMUNA ANCESTRAL SANTA RITA DE BALAO,Personería jurídica de las comunas y comunidades,Personería jurídica de las comunas y comunidades,Luis Fernando Sarango Macas,PERSONERIA JURIDICA | Personería jurídica de las comunas y comunidades
SGDPN-DRCPN-2025-0238-R,2025-04-14,REGISTRO DE DIRECTIVA,COMUNIDAD PASOHURCO,Registro y actualización de Directiva,Registro y actualización de Directiva,Luis Fernando Sarango Macas,REGISTRO DE DIRECTIVA | Registro y actualización de Directiva
SGDPN-DRCPN-2025-0239-R,2025-04-14,PERSONERIA JURIDICA,COMUNIDAD YACUBIANA,Personería jurídica de las comunas y comunidades,Personería jurídica de las comunas y comunidades,Luis Fernando Sarango Macas,PERSONERIA JURIDICA | Personería jurídica de las comunas y comunidades
SGDPN-DRCPN-2025-0240-R,2025-04-14,PERSONERÍA JURÍDICA,RECINTO LOS JAZMINES DE ARRIBA,Personería jurídica de las comunas y comunidades,Personería jurídica de las comunas y comunidades,Luis Fernando Sarango Macas,PERSONERÍA JURÍDICA | Personería jurídica de las comunas y comunidades
SGDPN-DRCPN-2025-0241-R,2025-04-15,REGISTRO DE DIRECTIVA,FUNDACIÓN PARA LA VIDA SOSTENIBLE Y SUSTENTABLE YANAPUMA,Personería jurídica a organizaciones sin fines de lucro,Personería jurídica de fundaciones,Luis Fernando Sarango Macas,REGISTRO DE DIRECTIVA | Personería jurídica a organizaciones sin fines de lucro
SGDPN-DRCPN-2025-0242-R,2025-04-15,REGISTRO DE DIRECTIVA,CORPORACIÓN PARA EL DESARROLLO INTEGRAL DE LOS PUEBLOS INDÍGENAS DE LAGO QUILOTOA,Registro y actualización de Directiva,Registro y actualización de Directiva,Luis Fernando Sarango Macas,REGISTRO DE DIRECTIVA | Registro y actualización de Directiva
SGDPN-DRCPN-2025-0243-R,2025-04-15,REGISTRO DE DIRECTIVA,ASOCIACIÓN DE MIGRANTES VALLE CELESTIAL DEL CANTÓN SAQUISILÍ,Registro y actualización de Directiva,Registro y actualización de Directiva,Luis Fernando Sarango Macas,REGISTRO DE DIRECTIVA | Registro y actualización de Directiva
SGDPN-DRCPN-2025-0244-R,2025-04-15,REGISTRO DE DIRECTIVA,ASOCIACIÓN DEL PUEBLO KICHWA ORIGINARIO DE PAKAYAKU,Registro y actualización de Directiva,Registro y actualización de Directiva,Luis Fernando Sarango Macas,REGISTRO DE DIRECTIVA | Registro y actualización de Directiva
SGDPN-DRCPN-2025-0245-R,2025-04-15,REGISTRO DE DIRECTIVA,COMUNIDAD SIONA TARAVEYA,Registro y actualización de Directiva,Registro y actualización de Directiva,Luis Fernando Sarango Macas,REGISTRO DE DIRECTIVA | Registro y actualización de Directiva
SGDPN-DRCPN-2025-0246-R,2025-04-16,REGISTRO DE DIRECTIVA,COMUNA MILENARIA E INTANGIBLE DEL PUEBLO CAÑARI,Registro y actualización de Directiva,Registro y actualización de Directiva,Luis Fernando Sarango Macas,REGISTRO DE DIRECTIVA | Registro y actualización de Directiva
SGDPN-DRCPN-2025-0247-R,2025-04-16,REGISTRO DE DIRECTIVA,CENTRO CHACHI SAN SALVADOR,Registro y actualización de Directiva,Registro y actualización de Directiva,Luis Fernando Sarango Macas,REGISTRO DE DIRECTIVA | Registro y actualización de Directiva
SGDPN-DRCPN-2025-0248-R,2025-04-16,REGISTRO DE DIRECTIVA,"ORGANIZACIÓN COMUNITARIA DE AGUA, DEFENSA, AMBIENTE Y DESARROLLO PRODUCTIVO, YACU PALLANA",Registro y actualización de Directiva,Registro y actualización de Directiva,Luis Fernando Sarango Macas,REGISTRO DE DIRECTIVA | Registro y actualización de Directiva
SGDPN-DRCPN-2025-0249-R,2025-04-16,REGISTRO DE DIRECTIVA,ASOCIACIÓN DE TRABAJADORES AGRÍCOLAS AUTÓNOMA CHACHI DE HOJA BLANCA,Registro y actualización de Directiva,Registro y actualización de Directiva,Luis Fernando Sarango Macas,REGISTRO DE DIRECTIVA | Registro y actualización de Directiva
SGDPN-DRCPN-2025-0250-R,2025-04-16,REGISTRO DE DIRECTIVA,CENTRO CHACHI PICHIYACU GRANDE,Registro y actualización de Directiva,Registro y actualización de Directiva,Luis Fernando Sarango Macas,REGISTRO DE DIRECTIVA | Registro y actualización de Directiva
SGDPN-DRCPN-2025-0251-R,2025-04-21,REGISTRO DE DIRECTIVA,ASOCIACIÓN MIGRANTES DE CHIMBORAZO,Registro y actualización de Directiva,Registro y actualización de Directiva,Luis Fernando Sarango Macas,REGISTRO DE DIRECTIVA | Registro y actualización de Directiva
SGDPN-DRCPN-2025-0252-R,2025-04-21,REGISTRO DE DIRECTIVA,CENTRO SHUAR DE UNT SUANT,Registro y actualización de Directiva,Registro y actualización de Directiva,Luis Fernando Sarango Macas,REGISTRO DE DIRECTIVA | Registro y actualización de Directiva
SGDPN-DRCPN-2025-0253-R,2025-04-22,REGISTRO DE DIRECTIVA,COMUNIDAD CACHILOMA,Registro y actualización de Directiva,Registro y actualización de Directiva,Luis Fernando Sarango Macas,REGISTRO DE DIRECTIVA | Registro y actualización de Directiva
SGDPN-DRCPN-2025-0254-R,2025-04-22,REFORMA DE ESTATUTO,ASOCIACIÓN DE CENTROS SHUAR TUNANTS,Reforma y mejoramiento del Estatuto,Reforma y codificación del Estatuto,Luis Fernando Sarango Macas,REFORMA DE ESTATUTO | Reforma y mejoramiento del Estatuto
SGDPN-DRCPN-2025-0255-R,2025-04-23,REGISTRO DE DIRECTIVA,ASOCIACIÓN DE MUJERES KICHWAS SUNI AKCHA,Registro y actualización de Directiva,Registro y actualización de Directiva,Luis Fernando Sarango Macas,REGISTRO DE DIRECTIVA | Registro y actualización de Directiva
SGDPN-DRCPN-2025-0256-R,2025-04-23,REGISTRO DE DIRECTIVA,COMUNIDAD KICHWA CASCABEL 2,Registro y actualización de Directiva,Registro y actualización de Directiva,Luis Fernando Sarango Macas,REGISTRO DE DIRECTIVA | Registro y actualización de Directiva
SGDPN-DRCPN-2025-0257-R,2025-04-23,PERSONERIA JURIDICA,FUNDACION FANNY GUAMANGATE,Personería jurídica a organizaciones sin fines de lucro,Personería jurídica de fundaciones,Luis Fernando Sarango Macas,PERSONERIA JURIDICA | Personería jurídica a organizaciones sin fines de lucro
SGDPN-DRCPN-2025-0258-R,2025-04-23,REGISTRO DE DIRECTIVA,COMUNIDAD KICHWA DE ALTO SUMINO,Registro y actualización de Directiva,Registro y actualización de Directiva,Luis Fernando Sarango Macas,REGISTRO DE DIRECTIVA | Registro y actualización de Directiva
SGDPN-DRCPN-2025-0259-R,2025-04-23,INCLUSIÓN Y EXCLUSIÓN DE SOCIOS,FUNDACIÓN ITIUMU SAPARA FISA,Registro de inclusión y/o exclusión de miembros ,Registro de inclusión y/o exclusión de miembros o socios,Luis Fernando Sarango Macas,INCLUSIÓN Y EXCLUSIÓN DE SOCIOS | Registro de inclusión y/o exclusión de miembros 
SGDPN-DRCPN-2025-0260-R,2025-04-23,REGISTRO DE DIRECTIVA,FUNDACIÓN ITIUMU SAPARA FISA,Registro y actualización de Directiva,Registro y actualización de Directiva,Luis Fernando Sarango Macas,REGISTRO DE DIRECTIVA | Registro y actualización de Directiva
SGDPN-DRCPN-2025-0261-R,2025-04-23,REGISTRO DE DIRECTIVA,CENTRO SHUAR PUMPUIS,Registro y actualización de Directiva,Registro y actualización de Directiva,Luis Fernando Sarango Macas,REGISTRO DE DIRECTIVA | Registro y actualización de Directiva
SGDPN-DRCPN-2025-0262-R,2025-04-23,REGISTRO DE DIRECTIVA,CENTRO SHUAR CHUMPIAS,Registro y actualización de Directiva,Registro y actualización de Directiva,Luis Fernando Sarango Macas,REGISTRO DE DIRECTIVA | Registro y actualización de Directiva
SGDPN-DRCPN-2025-0263-R,2025-04-23,REGISTRO DE DIRECTIVA,"ASOCIACIÓN JATUN AYLLU JUAN PASTO ""AJA""",Registro y actualización de Directiva,Registro y actualización de Directiva,Luis Fernando Sarango Macas,REGISTRO DE DIRECTIVA | Registro y actualización de Directiva
